1,2,3,4,5,6,7
you,i,mavotessu,day,the,boston,please
boston,report,supertuesday,covid,2,trump,1
life,4charlie,coronavirus,1,2020,2020,best
2020,love,boston,help,covid,5,2020
kobe,congresstocampus,suffolk,19,boston,breonnataylor,boston
3,2020,covid,lynx,help,blm,sad
happy,lynx,after,boston,19,juneteenth,covid
celtics,superbowl,2,patriots,suffolk,bostonprotests,getdantospace
report,boston,maprimary,2020,4,scotus,thoughts
4charlie,fmctc,19,suffolk,patriots,bostonprotest,rip
patriots,suffolk,3,college,pandemic,funny,breaking
nba,website,game,news,sad,nba,twitch
grammys,trump,2020,coronavirus,graduation,elijahmcclain,tattoo
rip,superbowlliv,trump,acnh,justice,cypher,tiktok
ma,html,update,sports,celtics,poc,freebritney
mlk,bernie,massachusetts,animalcrossing,smh,retweet,halamadridynadamas
lgbtq,iowa,6,8,massachusetts,abortion,coronavirus
shakira,student,news,nintendoswitch,acnh,blacklivesmatter,army
superbowlliv,friends,proud,tiktok,report,bospoli,strength
newprofilepic,vote,sanders,19pandemic,blacklivesmatter,breonnatayor,spotify
